,prices,locations,other
81,R$ 230.000,Imbiribeira,2quartos1banheiro 1vaga45m²
82,R$ 230.000,Madalena,3quartos1suíte2banheiros1vaga69m²
83,R$ 230.000,Janga,3quartos1suíte3banheiros2vagas120m²
84,R$ 230.000R$ 850/mês,Encruzilhada,"3quartos1banheiro 1vaga72,03m²"
85,R$ 230.000R$ 1.200/mês,Casa Amarela,1quarto1banheiro 1vaga40m²
86,R$ 230.000R$ 1.205/mês,Boa Viagem,"1quarto1banheiro 1vaga35,67m²"
87,R$ 230.284,Boa Viagem,1quarto1banheiro 1vaga25m²
88,R$ 235.000,Iputinga,2quartos1suíte1banheiro 1vaga44m²
89,R$ 235.000,Boa Viagem,"1quarto1suíte1banheiro 1vaga30,16m²"
90,R$ 235.000,Torre,3quartos1suíte1banheiro 1vaga69m²
91,R$ 235.000,Iputinga,2quartos1suíte1banheiro 1vaga42m²
92,R$ 235.000R$ 1.010/mês,Boa Viagem,1quarto1banheiro 1vaga48m²
93,R$ 235.000R$ 1.200/mês,Casa Amarela,1quarto1banheiro 1vaga44m²
94,R$ 240.000,Encruzilhada,3quartos1banheiro 1vaga76m²
95,R$ 240.000,Boa Viagem,1quarto1suíte1banheiro 1vaga30m²
96,R$ 240.000,Arruda,2quartos1banheiro 1vaga59m²
97,R$ 240.000,Madalena,1quarto1banheiro 1vaga35m²
98,R$ 240.000,Encruzilhada,2quartos1suíte1banheiro 1vaga82m²
99,R$ 240.000,Iputinga,2quartos1banheiro 1vaga60m²
100,R$ 240.000,Iputinga,"2quartos1suíte2banheiros1vaga42,36m²"
101,R$ 240.000,Iputinga,2quartos1suíte1banheiro 1vaga45m²
102,R$ 240.000,Arruda,3quartos1suíte2banheiros1vaga70m²
103,R$ 243.657,Iputinga,3quartos1banheiro 1vaga60m²
104,R$ 244.340,Boa Vista,"2quartos1suíte2banheiros1vaga56,44m²"
105,R$ 245.000,Iputinga,2quartos1suíte1banheiro 1vaga42m²
106,R$ 245.000,Campo Grande,2quartos1suíte3banheiros1vaga78m²
107,R$ 245.000,Tamarineira,2quartos1suíte2banheiros1vaga52m²
108,R$ 245.000,Aflitos,"1quarto1banheiro 1vaga31,94m²"
109,R$ 248.854,São José,1quarto1suíte1banheiro 1vaga33m²
110,R$ 249.000,Aflitos,2quartos1suíte1banheiro 1vaga62m²
111,R$ 250.000,Boa Viagem,"1quarto1suíte1banheiro 1vaga23,35m²"
112,R$ 250.000,Boa Viagem,1quarto1banheiro 1vaga28m²
113,R$ 250.000,Cordeiro,3quartos2banheiros2vagas71m²
114,R$ 250.000,Boa Viagem,1quarto1banheiro 1vaga35m²
115,R$ 250.000,Cordeiro,2quartos1suíte2banheiros1vaga65m²
116,R$ 250.000,Encruzilhada,3quartos2banheiros1vaga77m²
117,R$ 250.000,Boa Viagem,1quarto1banheiro 1vaga28m²
118,R$ 250.000,Boa Viagem,1quarto1banheiro 1vaga35m²
119,R$ 250.000,Casa Amarela,2quartos1banheiro 1vaga50m²
120,R$ 250.000,Boa Vista,1quarto1banheiro 1vaga35m²
121,R$ 250.000,Torre,3quartos1suíte1banheiro 1vaga80m²
122,R$ 250.000,Espinheiro,3quartos1suíte1banheiro 105m²
123,R$ 250.000,Jardim São Paulo,3quartos1suíte2banheiros1vaga60m²
124,R$ 250.000,Boa Viagem,1quarto1banheiro 32m²
125,R$ 250.000,Torre,3quartos2banheiros1vaga63m²
